Date,FearGreedIndex,Source,SPX_Close,SPX_DailyReturn
2009/07/01,55,estimated_from_chart_image,,
2009/07/06,58,estimated_from_chart_image,,
2009/07/13,62,estimated_from_chart_image,,
2009/07/20,68,estimated_from_chart_image,,
2009/07/27,72,estimated_from_chart_image,,
2009/08/03,78,estimated_from_chart_image,,
2009/08/10,82,estimated_from_chart_image,,
2009/08/17,85,estimated_from_chart_image,,
2009/08/24,88,estimated_from_chart_image,,
2009/08/31,90,estimated_from_chart_image,,
2009/09/07,88,estimated_from_chart_image,,
2009/09/14,92,estimated_from_chart_image,,
2009/09/21,90,estimated_from_chart_image,,
2009/09/28,85,estimated_from_chart_image,,
2009/10/05,80,estimated_from_chart_image,,
2009/10/12,75,estimated_from_chart_image,,
2009/10/19,72,estimated_from_chart_image,,
2009/10/26,68,estimated_from_chart_image,,
2009/11/02,70,estimated_from_chart_image,,
2009/11/09,75,estimated_from_chart_image,,
2009/11/16,78,estimated_from_chart_image,,
2009/11/23,80,estimated_from_chart_image,,
2009/11/30,82,estimated_from_chart_image,,
2009/12/07,78,estimated_from_chart_image,,
2009/12/14,75,estimated_from_chart_image,,
2009/12/21,72,estimated_from_chart_image,,
2009/12/28,70,estimated_from_chart_image,,
2010/01/04,72,estimated_from_chart_image,,
2010/01/11,70,estimated_from_chart_image,,
2010/01/19,65,estimated_from_chart_image,,
2010/01/25,58,estimated_from_chart_image,,
2010/02/01,50,estimated_from_chart_image,,
2010/02/08,42,estimated_from_chart_image,,
2010/02/16,45,estimated_from_chart_image,,
2010/02/22,55,estimated_from_chart_image,,
2010/03/01,60,estimated_from_chart_image,,
2010/03/08,65,estimated_from_chart_image,,
2010/03/15,68,estimated_from_chart_image,,
2010/03/22,70,estimated_from_chart_image,,
2010/03/29,72,estimated_from_chart_image,,
2010/04/05,75,estimated_from_chart_image,,
2010/04/09,,,1194.37,
2010/04/12,73,estimated_from_chart_image,1196.48,0.1767
2010/04/13,,,1197.3,0.0685
2010/04/14,,,1210.65,1.115
2010/04/15,,,1211.67,0.0843
2010/04/16,,,1192.13,-1.6127
2010/04/19,68,estimated_from_chart_image,1197.52,0.4521
2010/04/20,,,1207.17,0.8058
2010/04/21,,,1205.94,-0.1019
2010/04/22,,,1208.67,0.2264
2010/04/23,,,1217.28,0.7124
2010/04/26,55,estimated_from_chart_image,1212.05,-0.4296
2010/04/27,,,1183.71,-2.3382
2010/04/28,,,1191.36,0.6463
2010/04/29,,,1206.78,1.2943
2010/04/30,,,1186.69,-1.6648
