Date,VIX_Close,SPX_Close,SPX_DailyReturn
1990/01/02,17.24,359.69,1.78
1990/01/03,18.19,358.76,-0.26
1990/01/04,19.22,355.67,-0.86
1990/01/05,20.11,352.2,-0.98
1990/01/08,20.26,353.79,0.45
1990/01/09,22.2,349.62,-1.18
1990/01/10,22.44,347.31,-0.66
1990/01/11,20.05,348.53,0.35
1990/01/12,24.64,339.93,-2.47
1990/01/15,26.34,337,-0.86
1990/01/16,24.18,340.75,1.11
1990/01/17,24.16,337.4,-0.98
1990/01/18,24.34,338.19,0.23
1990/01/19,22.5,339.15,0.28
1990/01/22,26.7,330.38,-2.59
1990/01/23,24.72,331.61,0.37
1990/01/24,25.39,330.26,-0.41
1990/01/25,25.63,326.08,-1.27
1990/01/26,26.28,325.8,-0.09
1990/01/29,26.44,325.2,-0.18
1990/01/30,27.25,322.98,-0.68
1990/01/31,25.36,329.08,1.89
1990/02/01,24.87,328.79,-0.09
1990/02/02,24.32,330.92,0.65
1990/02/05,24.54,331.85,0.28
1990/02/06,24.69,329.66,-0.66
1990/02/07,24.29,333.75,1.24
1990/02/08,23.77,332.96,-0.24
1990/02/09,23.69,333.62,0.2
1990/02/12,24.38,330.08,-1.06
1990/02/13,23.76,331.02,0.28
1990/02/14,22.05,332.01,0.3
1990/02/15,19.71,334.89,0.87
1990/02/16,20.78,332.72,-0.65
1990/02/20,22.78,327.99,-1.42
1990/02/21,23.89,327.67,-0.1
1990/02/22,22.54,325.7,-0.6
1990/02/23,23.69,324.15,-0.48
1990/02/26,23.56,328.67,1.39
1990/02/27,22.69,330.26,0.48
1990/02/28,21.99,331.89,0.49
1990/03/01,21.9,332.74,0.26
1990/03/02,21.34,335.54,0.84
1990/03/05,22.03,333.74,-0.54
1990/03/06,20.55,337.93,1.26
1990/03/07,19.1,336.95,-0.29
1990/03/08,19.74,340.27,0.99
1990/03/09,20.3,337.93,-0.69
1990/03/12,20.07,338.67,0.22
1990/03/13,21.05,336,-0.79
1990/03/14,19.65,336.87,0.26
1990/03/15,18.81,338.07,0.36
1990/03/16,17.62,341.91,1.14
1990/03/19,18.29,343.53,0.47
1990/03/20,19.06,341.57,-0.57
1990/03/21,20.1,339.74,-0.54
1990/03/22,22.74,335.69,-1.19
1990/03/23,20.46,337.22,0.46
1990/03/26,19.59,337.63,0.12
1990/03/27,21.01,341.5,1.15
1990/03/28,19.77,342,0.15
1990/03/29,18.46,340.79,-0.35
1990/03/30,19.73,339.94,-0.25
1990/04/01,19.52,,
1990/04/02,22.84,338.7,-0.36
1990/04/03,20.44,343.64,1.46
1990/04/04,22.03,341.09,-0.74
1990/04/05,21.21,340.73,-0.11
1990/04/06,21.76,340.08,-0.19
1990/04/09,22.3,341.37,0.38
1990/04/10,21.69,342.07,0.21
1990/04/11,17.73,341.92,-0.04
1990/04/12,19.8,344.34,0.71
1990/04/16,20.75,344.74,0.12
1990/04/17,20.38,344.68,-0.02
1990/04/18,22.67,340.72,-1.15
1990/04/19,22.46,338.09,-0.77
1990/04/20,23.33,335.12,-0.88
1990/04/23,24.16,331.05,-1.21
1990/04/24,21.7,330.36,-0.21
1990/04/25,20.86,332.03,0.51
1990/04/26,20.25,332.92,0.27
1990/04/27,22.19,329.11,-1.14
1990/04/30,19.52,330.8,0.51
1990/05/01,18.43,332.25,0.44
1990/05/02,19.32,334.48,0.67
1990/05/03,17.81,335.57,0.33
1990/05/04,17.28,338.39,0.84
1990/05/07,17.65,340.53,0.63
1990/05/08,18.49,342.01,0.43
1990/05/09,18.64,342.86,0.25
1990/05/10,18.59,343.82,0.28
1990/05/11,19.81,352,2.38
1990/05/14,20.14,354.75,0.78
1990/05/15,19.49,354.28,-0.13
1990/05/16,17.71,354,-0.08
1990/05/17,17.27,354.47,0.13
1990/05/18,17.2,354.64,0.05
1990/05/21,16.72,358,0.95
1990/05/22,17.84,358.43,0.12
1990/05/23,17.18,359.29,0.24
1990/05/24,17.7,358.41,-0.24
1990/05/25,17.32,354.58,-1.07
1990/05/29,18.75,360.65,1.71
1990/05/30,17.44,360.86,0.06
1990/05/31,17.37,361.23,0.1
1990/06/01,17.09,363.16,0.53
1990/06/04,18.39,367.4,1.17
1990/06/05,18.97,366.64,-0.21
1990/06/06,17.42,364.96,-0.46
1990/06/07,16.88,363.15,-0.5
1990/06/08,17.58,358.71,-1.22
1990/06/11,16.34,361.63,0.81
1990/06/12,16.6,366.25,1.28
1990/06/13,17.38,364.9,-0.37
1990/06/14,17.4,362.9,-0.55
1990/06/15,15.9,362.91,0
1990/06/18,17.71,356.88,-1.66
